Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532331,AJANTPHARM,AJANTA PHARMA LTD.,24 Jul 2014,Dividend - Rs. - 10.0000,-,28 Jul 2014,05 Aug 2014,21 Jul 2014,25 Jul 2014,-
532259,APARINDS,APAR INDUSTRIES LTD.,24 Jul 2014,Final Dividend - Rs. - 5.2500,-,26 Jul 2014,01 Aug 2014,21 Jul 2014,24 Jul 2014,-
500101,ARVIND,ARVIND LTD.,24 Jul 2014,Dividend - Rs. - 2.3500,-,26 Jul 2014,30 Jul 2014,21 Jul 2014,24 Jul 2014,-
505688,BHARATGEAR,BHARAT GEARS LTD.,24 Jul 2014,Final Dividend - Rs. - 1.0000,-,26 Jul 2014,01 Aug 2014,21 Jul 2014,24 Jul 2014,29 Aug 2014
501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,24 Jul 2014,Dividend - Rs. - 3.0000,-,26 Jul 2014,08 Aug 2014,21 Jul 2014,24 Jul 2014,25 Aug 2014
532834,CAMLINFINE,CAMLIN FINE SCIENCES LTD.,24 Jul 2014,Dividend - Rs. - 0.7000,-,28 Jul 2014,04 Aug 2014,21 Jul 2014,25 Jul 2014,-
531595,CGCL,Capri Global Capital Limited,24 Jul 2014,Final Dividend - Rs. - 1.5000,-,28 Jul 2014,04 Aug 2014,21 Jul 2014,25 Jul 2014,-
506390,CLNINDIA,CLARIANT CHEMICALS (INDIA) LTD.,24 Jul 2014,Interim Dividend - Rs. - 39.0000,25 Jul 2014,-,-,18 Jul 2014,24 Jul 2014,-
507543,CORAGRO,COROMANDEL AGRO PRODUCTS & OILS LTD.,24 Jul 2014,Dividend - Rs. - 1.2500,-,05 Aug 2014,11 Aug 2014,24 Jul 2014,08 Aug 2014,-
536974,CPL,Captain Polyplast Ltd,24 Jul 2014,Bonus issue 1:5,26 Jul 2014,-,-,21 Jul 2014,24 Jul 2014,-
500092,CRISIL,CRISIL LTD.,24 Jul 2014,Interim Dividend - Rs. - 3.0000,25 Jul 2014,-,-,18 Jul 2014,24 Jul 2014,07 Aug 2014
500480,CUMMINSIND,CUMMINS INDIA LTD.,24 Jul 2014,Final Dividend - Rs. - 8.0000,-,26 Jul 2014,01 Aug 2014,21 Jul 2014,24 Jul 2014,28 Aug 2014
523369,DCMSRMIND,DCM SHRIRAM INDUSTRIES LTD.-$,24 Jul 2014,Dividend - Rs. - 3.5000,-,26 Jul 2014,14 Aug 2014,21 Jul 2014,24 Jul 2014,13 Sep 2014
505710,GRAUWEIL,GRAUER & WEIL (INDIA) LTD.-$,24 Jul 2014,Dividend - Rs. - 0.1600,-,26 Jul 2014,31 Jul 2014,21 Jul 2014,24 Jul 2014,-
533282,GRAVITA,GRAVITA INDIA LTD.,24 Jul 2014,Final Dividend - Rs. - 0.5000,-,28 Jul 2014,02 Aug 2014,21 Jul 2014,25 Jul 2014,31 Aug 2014
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,24 Jul 2014,Dividend - Rs. - 2.0000,-,26 Jul 2014,08 Aug 2014,21 Jul 2014,24 Jul 2014,-
522064,HONDAPOWER,Honda India Power Products Ltd,24 Jul 2014,Dividend - Rs. - 4.0000,-,26 Jul 2014,05 Aug 2014,21 Jul 2014,24 Jul 2014,02 Sep 2014
509692,INDIANCARD,INDIAN CARD CLOTHING CO.LTD.,24 Jul 2014,Dividend - Rs. - 3.0000,-,26 Jul 2014,31 Jul 2014,21 Jul 2014,24 Jul 2014,-
532717,INDOTECH,INDO TECH TRANSFORMERS LTD.,24 Jul 2014,General ,-,28 Jul 2014,05 Aug 2014,21 Jul 2014,25 Jul 2014,-
